                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3252,                 3.1696,                 1.7126,                0.56118,                0.67057,                 0.6645,                0.45612,                0.89489,                 2.3077,                 1.1928,             0.00025722,             0.00025722,             0.00025722
                      2,                0.95567,                 1.5497,                 1.2671,                0.65017,                0.91667,                 0.8552,                0.61935,                0.99466,                 3.8348,                 1.4064,             0.00051826,             0.00051826,             0.00051826
                      3,                 1.0917,                 1.4244,                 1.3119,                0.70508,                0.36111,                0.48108,                0.33068,                 1.4364,                  2.818,                 1.6443,             0.00076855,             0.00076855,             0.00076855
                      4,                  1.058,                 1.2311,                 1.3322,                0.55111,                0.68657,                 0.6973,                0.46699,                 1.1517,                 7.1131,                 1.4977,              0.0010081,              0.0010081,              0.0010081
                      5,                 1.1347,                 1.2154,                 1.3493,                0.73693,                 0.7564,                0.78643,                0.51576,                  1.209,                 3.1064,                 1.6391,              0.0012369,              0.0012369,              0.0012369
                      6,                  1.029,                 1.1396,                 1.2632,                 0.8231,                0.80556,                0.88896,                0.66377,                0.88334,                 2.3384,                 1.2659,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0009,                 1.0607,                 1.2522,                 0.6006,                0.68333,                0.60869,                0.35184,                 1.8934,                 1.9529,                 1.9417,              0.0012592,              0.0012592,              0.0012592
                      8,                0.97305,                 1.0132,                 1.2367,                0.11226,                0.28333,                0.08073,                0.04102,                 2.6355,                 4.0792,                 3.0206,              0.0012309,              0.0012309,              0.0012309
                      9,                0.92661,                0.93358,                 1.2092,                0.70339,                0.69444,                 0.6887,                0.49298,                 1.4099,                 2.3488,                 1.9542,              0.0012026,              0.0012026,              0.0012026
                     10,                0.89699,                0.86307,                 1.1699,                0.95046,                0.94444,                0.97073,                0.76825,                0.77255,                 1.4753,                 1.1496,              0.0011744,              0.0011744,              0.0011744
                     11,                0.91247,                0.80746,                 1.1845,                0.78905,                0.67417,                0.77622,                0.55976,                  1.276,                 1.5447,                 1.5252,              0.0011461,              0.0011461,              0.0011461
                     12,                0.90333,                0.77943,                 1.1574,                0.88282,                0.91667,                0.97415,                0.78463,                0.81457,                0.70608,                 1.0624,              0.0011178,              0.0011178,              0.0011178
                     13,                0.86415,                 0.7986,                 1.1256,                0.90712,                0.94444,                0.95307,                0.82472,                0.68425,                0.62406,                 1.0029,              0.0010895,              0.0010895,              0.0010895
                     14,                  0.924,                0.86395,                 1.1796,                0.90804,                0.98723,                0.98859,                0.79704,                0.81284,                 0.7745,                 1.1112,              0.0010612,              0.0010612,              0.0010612
                     15,                0.82529,                0.77603,                 1.1117,                0.92188,                0.97067,                0.98442,                 0.8483,                0.61159,                 0.5953,                0.93982,              0.0010329,              0.0010329,              0.0010329
                     16,                0.84333,                0.77993,                 1.1443,                  0.941,                0.95155,                0.98647,                0.83204,                0.65846,                0.60749,                   1.01,              0.0010046,              0.0010046,              0.0010046
                     17,                0.82573,                0.72734,                 1.1257,                0.91272,                 0.6241,                0.88861,                0.63308,                 1.2097,                 1.0533,                 1.3532,             0.00097629,             0.00097629,             0.00097629
                     18,                0.81882,                0.70567,                 1.1383,                0.87378,                 0.9425,                0.97808,                0.75933,                0.81531,                0.69856,                 1.0787,               0.000948,               0.000948,               0.000948
                     19,                0.78615,                0.69964,                 1.1103,                0.97121,                0.99537,                  0.995,                0.84425,                0.59617,                0.45994,                0.93172,              0.0009197,              0.0009197,              0.0009197
                     20,                0.79489,                0.65136,                 1.1044,                0.95428,                0.94016,                0.96122,                0.80013,                0.73026,                0.72788,                0.99571,             0.00089141,             0.00089141,             0.00089141
                     21,                0.83027,                0.71457,                 1.1314,                0.98577,                0.96787,                0.99119,                0.85393,                0.59408,                0.54339,                0.93087,             0.00086312,             0.00086312,             0.00086312
                     22,                0.78567,                0.66233,                  1.116,                0.98871,                0.94444,                0.97416,                0.84965,                0.60726,                0.53178,                0.92799,             0.00083482,             0.00083482,             0.00083482
                     23,                0.76385,                0.62363,                 1.0955,                0.97883,                0.99862,                  0.995,                0.86634,                0.55977,                0.45328,                0.91057,             0.00080653,             0.00080653,             0.00080653
                     24,                0.76657,                 0.6361,                 1.1064,                 0.9674,                0.97797,                  0.995,                0.84021,                0.62996,                0.43179,                0.97175,             0.00077823,             0.00077823,             0.00077823
                     25,                0.71796,                0.57172,                 1.0823,                0.98227,                      1,                  0.995,                0.85542,                0.55021,                0.36962,                0.90153,             0.00074994,             0.00074994,             0.00074994
                     26,                0.73405,                0.59055,                 1.0781,                0.98918,                      1,                  0.995,                0.87614,                 0.6009,                0.35388,                0.93409,             0.00072164,             0.00072164,             0.00072164
